Country,Code,CO2Emissions,YearlyChange,Percapita,Population,LifeExpectancy
Afghanistan,AFG,9900004,7.13,0.28,35383032,63.763
Albania,ALB,5208319,4.45,1.8,2886438,78.194
Algeria,DZA,156220560,0.17,3.85,40551392,76.298
Angola,AGO,30566933,3.13,1.06,28842489,59.925
Anguilla,AIA,30262,1.52,2.1,14429,81.441
Antigua and Barbuda,ATG,438763,1.51,4.64,94527,76.617
Argentina,ARG,200708270,0.16,4.61,43508460,76.221
Armenia,ARM,4597845,3.06,1.57,2936143,74.64
Aruba,ABW,286871,1.51,2.74,104872,75.868
Australia,AUS,414988700,-0.98,17.1,24262712,82.959
Austria,AUT,73764112,1.54,8.43,8747301,81.258
Azerbaijan,AZE,33614235,-0.41,3.45,9736043,72.493
Bahamas,BHS,4404247,1.51,11.65,377930,73.329
Bahrain,BHR,24458384,2.5,17.15,1425792,76.899
Bangladesh,BGD,74476230,4.5,0.47,157977153,71.785
Barbados,BRB,1541447,1.88,5.39,285796,78.888
Belarus,BLR,62655669,4.9,6.63,9445643,74.031
Belgium,BEL,94722813,1.53,8.34,11354420,81.139
Belize,BLZ,1114105,1.51,3.02,368400,74.219
Benin,BEN,6563709,4.13,0.6,10872063,60.885
Bermuda,BMU,639352,1.51,10.09,63362,82.163
Bhutan,BTN,1682100,6.14,2.28,736708,70.781
Bolivia,BOL,19463728,2.03,1.76,11031814,70.626
Bosnia and Herzegovina,BIH,25674120,0.86,7.58,3386266,76.998
Botswana,BWA,6438429,-3.74,2.98,2159927,68.178
Brazil,BRA,462994920,-6.08,2.25,206163053,75.23
British Virgin Islands,VGB,99762,1.51,3.4,29355,78.576
Brunei,BRN,7672127,3.54,18.28,419800,75.45
Bulgaria,BGR,50872910,-6,7.11,7151953,74.703
Burkina Faso,BFA,2352070,3.14,0.13,18646357,60.354
Burundi,BDI,1093618,2.81,0.1,10487995,60.528
Cambodia,KHM,6496958,7.68,0.41,15766292,68.977
Cameroon,CMR,9454331,2.21,0.4,23926551,58.063
Canada,CAN,675918610,-1,18.58,36382944,82.117
Cape Verde,CPV,99687,2.59,0.19,531146,72.347
Cayman Islands,CYM,406057,1.52,6.49,62569,83.48
Central African Republic,CAF,543229,2.57,0.12,4537686,51.593
Chad,TCD,1670941,2.14,0.11,14561660,53.438
Chile,CHL,81258525,5.33,4.46,18209068,79.779
China,CHN,10432751400,-0.28,7.38,1414049351,76.21
Colombia,COL,77667594,-0.84,1.61,48175052,76.732
Comoros,COM,108422,2.58,0.14,795592,63.7
Congo,COG,5212302,1.63,1.05,4980996,63.556
Cook Islands,COK,37354,7.19,2.13,17524,75.631
Costa Rica,CRI,8328890,2.16,1.7,4899345,79.738
Cote d'Ivoire,CIV,10056492,1.16,0.42,23822714,56.567
Croatia,HRV,19408194,3.02,4.61,4208602,78.049
Cuba,CUB,30389116,1.65,2.68,11335104,78.607
Cyprus,CYP,6872427,3.73,5.87,1170187,80.513
Czech Republic (Czechia),CZE,111825428,1.39,10.53,10618857,78.881
Denmark,DNK,38007645,5.23,6.65,5711349,80.583
Djibouti,DJI,1508851,2.97,1.62,929112,65.064
Dominica,DMA,185767,1.51,2.61,71307,74.384
Dominican Republic,DOM,23466740,2.88,2.26,10397741,73.471
Ecuador,ECU,40065690,-4.85,2.43,16491116,76.365
Egypt,EGY,219377350,4.72,2.32,94447073,71.482
El Salvador,SLV,6853766,0.45,1.08,6356143,72.644
Equatorial Guinea,GNQ,2156371,0,1.77,1215180,57.713
Eritrea,ERI,684140,4.79,0.2,3376557,65.111
Estonia,EST,22402414,1.01,17.02,1316510,78.097
Eswatini,SWZ,657572,2.61,0.59,1113997,56.962
Ethiopia,ETH,10438855,4.03,0.1,103603462,65.482
Faeroe Islands,FRO,1953,0.6,0.04,48173,80.255
Falkland Islands,FLK,48568,1.51,16.59,2928,81.021
Fiji,FJI,1703193,7.28,1.95,872399,67.175
Finland,FIN,51183960,3.62,9.31,5497713,81.382
France,FRA,331533320,2.11,5.13,64667596,82.328
French Guiana,GUF,1473719,1.73,5.5,267821,79.642
French Polynesia,PYF,1003249,7.18,3.65,274575,77.024
Gabon,GAB,5694208,1.12,2.84,2007873,65.418
Gambia,GMB,254127,2.59,0.12,2149136,61.166
Georgia,GEO,8610414,2.94,2.14,4015450,73.207
Germany,DEU,775752190,1.28,9.44,82193768,80.902
Ghana,GHA,14469986,3.54,0.51,28481945,63.124
Gibraltar,GIB,572708,3.53,16.98,33737,79.485
Greece,GRC,67840662,-3.47,6.39,10615185,81.727
Greenland,GRL,1530,0.86,0.03,56412,71.493
Grenada,GRD,554848,1.51,5.03,110261,72.408
Guadeloupe,GLP,2478038,1.84,6.2,399763,81.469
Guatemala,GTM,18539316,2.42,1.12,16583076,73.541
Guinea,GIN,2071798,3.2,0.18,11738429,60.17
Guinea-Bissau,GNB,318706,2.59,0.18,1782438,57.328
Guyana,GUY,3253057,1.61,4.22,771368,69.454
Haiti,HTI,3086897,1.71,0.28,10839970,62.896
Honduras,HND,9320279,2.25,1.01,9270795,74.701
Hong Kong,HKG,47066386,1.23,6.5,7243542,84.277
Hungary,HUN,51018899,2.16,5.23,9752975,76.266
Iceland,ISL,3923884,1.62,11.81,332206,82.601
India,IND,2533638100,4.71,1.91,1324517249,68.897
Indonesia,IDN,530035650,6.41,2.03,261556381,71.035
Iran,IRN,642560030,2.22,8.08,79563989,76.047
Iraq,IRQ,162646160,1.22,4.44,36610632,70.122
Ireland,IRL,39086565,5.09,8.32,4695779,81.615
Israel,ISR,65201588,-0.38,8.04,8108985,82.503
Italy,ITA,358139550,0.84,5.9,60663060,83.008
Jamaica,JAM,8946575,1.82,3.08,2906236,74.175
Japan,JPN,1239592060,-1.21,9.7,127763265,84.09
Jordan,JOR,22772370,1.83,2.38,9554286,74.184
Kazakhstan,KAZ,231919540,1.64,13.01,17830901,72.081
Kenya,KEN,16334919,3.6,0.33,49051534,65.393
Kiribati,KIR,52818,7.18,0.47,112524,67.577
Kuwait,KWT,101492225,1.36,25.65,3956875,75.224
Kyrgyzstan,KGZ,6941784,2.53,1.14,6074330,71.054
Laos,LAO,4531276,7.92,0.66,6845846,66.924
Latvia,LVA,8157157,3.41,4.13,1974266,74.91
Lebanon,LBN,21863288,1.95,3.26,6714281,78.8
